Time (s),Vsub = -20V (counts),Vsub = -5V (counts)
3.00E-10,13,18
3.01E-10,20,15
3.01E-10,15,14
3.02E-10,10,12
3.03E-10,13,20
3.04E-10,9,19
3.05E-10,12,14
3.05E-10,9,14
3.06E-10,9,14
3.07E-10,16,27
3.08E-10,11,24
3.09E-10,11,13
3.10E-10,11,23
3.10E-10,11,19
3.11E-10,15,22
3.12E-10,12,18
3.13E-10,11,21
3.14E-10,6,24
3.14E-10,11,16
3.15E-10,16,22
3.16E-10,13,16
3.17E-10,17,17
3.18E-10,17,15
3.19E-10,9,22
3.19E-10,8,20
3.20E-10,12,27
3.21E-10,7,22
3.22E-10,12,35
3.23E-10,9,33
3.23E-10,15,25
3.24E-10,10,25
3.25E-10,11,35
3.26E-10,9,35
3.27E-10,10,23
3.27E-10,8,36
3.28E-10,6,28
3.29E-10,7,39
3.30E-10,9,32
3.31E-10,9,44
3.32E-10,14,37
3.32E-10,11,35
3.33E-10,14,33
3.34E-10,23,27
3.35E-10,11,50
3.36E-10,17,50
3.36E-10,18,50
3.37E-10,11,52
3.38E-10,17,39
3.39E-10,10,52
3.40E-10,20,63
3.41E-10,23,57
3.41E-10,12,51
3.42E-10,20,58
3.43E-10,17,62
3.44E-10,19,72
3.45E-10,13,69
3.45E-10,14,57
3.46E-10,11,56
3.47E-10,18,55
3.48E-10,15,61
3.49E-10,18,56
3.49E-10,13,50
3.50E-10,12,58
3.51E-10,29,58
3.52E-10,20,53
3.53E-10,15,57
3.54E-10,22,59
3.54E-10,26,62
3.55E-10,18,64
3.56E-10,25,54
3.57E-10,22,56
3.58E-10,26,54
3.58E-10,36,61
3.59E-10,29,56
3.60E-10,21,55
3.61E-10,33,47
3.62E-10,28,49
3.62E-10,38,47
3.63E-10,45,48
3.64E-10,37,54
3.65E-10,44,51
3.66E-10,41,35
3.67E-10,42,47
3.67E-10,43,44
3.68E-10,41,33
3.69E-10,51,54
3.70E-10,33,31
3.71E-10,38,34
3.71E-10,51,36
3.72E-10,51,37
3.73E-10,73,26
3.74E-10,58,36
3.75E-10,61,44
3.76E-10,64,32
3.76E-10,76,28
3.77E-10,70,32
3.78E-10,59,25
3.79E-10,57,27
3.80E-10,71,32
